,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
306,4,11,462,100,100,4,19151,0,0,-2,2,674.5,2,230,2,2.5,0.0,1,Chris,0.0,37,3,153.1,438,False,509.4,0,0,0,0,2477,,48,0,0,0,19151.jpg,3.2,0,0,Brunt,2.3,False,11,a,19,35,340.0,99,259739,0,176009,0,0.0,20.6,Brunt,5,81,99
317,0,7,364,100,100,6,8380,0,0,-3,3,45.4,2,217,2,4.5,0.0,1,James,0.0,29,2,71.6,452,False,501.0,0,0,0,0,1655,,42,0,0,0,8380.jpg,3.1,0,0,Collins,4.5,False,19,a,20,21,169.0,69,399814,0,378537,0,0.0,16.4,Collins,3,36,23
318,3,16,622,75,0,9,48717,0,0,-1,1,104.4,2,294,2,0.0,0.0,0,Winston,0.0,48,2,104.0,453,False,793.6,0,0,0,0,2587,Knee injury - 75% chance of playing,49,0,0,0,48717.jpg,3.4,1,0,Reid,2.4,False,2,d,20,21,141.0,102,282720,0,290254,0,0.0,20.8,Reid,8,42,23
319,2,1,334,100,100,5,55459,0,0,-4,4,284.7,0,514,2,2.0,0.0,2,Aaron,0.0,35,0,71.2,454,False,307.6,0,0,0,0,2115,,51,0,0,0,55459.jpg,2.3,1,0,Cresswell,0.3,False,3,a,20,21,121.0,60,35126,0,39280,0,0.0,11.8,Cresswell,2,118,49
320,0,0,0,0,0,0,173792,0,0,-3,3,0.0,0,28,2,0.0,0.0,0,Reece,0.0,0,0,0.0,455,False,0.0,0,0,0,0,0,Joined Reading on loan from 31/1 until the end of the season,42,0,0,0,173792.jpg,0.0,0,0,Oxford,0.3,False,35,u,20,21,0.0,0,2706,0,19991,0,0.0,0.0,Oxford,0,1,0
321,0,2,322,100,100,4,40669,0,0,-3,3,82.4,0,284,2,0.0,0.0,2,Angelo,0.0,31,0,51.6,456,False,384.4,0,0,0,0,1755,,47,0,0,0,40669.jpg,2.3,0,0,Ogbonna,0.7,False,21,a,20,21,51.0,45,20365,0,49835,0,0.0,9.6,Ogbonna,2,77,85
322,1,2,198,100,100,3,113564,0,0,-3,3,118.2,0,39,2,1.3,0.0,2,Sam,0.0,27,0,39.4,457,False,202.2,0,0,0,0,1249,,42,0,0,0,113564.jpg,1.6,1,0,Byram,0.3,False,22,a,20,21,72.0,29,18111,0,35188,0,0.0,6.9,Byram,5,5,1
336,0,4,292,100,100,3,33871,0,0,-6,6,52.5,0,0,2,1.3,1.0,0,Ragnar,0.0,19,0,44.0,474,False,308.2,0,0,0,0,1410,,44,0,0,0,33871.jpg,2.1,0,0,Klavan,0.6,False,17,a,9,14,78.0,43,67907,0,91899,0,0.0,9.8,Klavan,3,78,85
339,0,3,171,None,None,4,156074,0,0,-4,4,49.2,1,0,2,3.7,0.0,1,Rob,0.0,8,0,32.2,484,False,172.0,0,0,0,0,810,,41,0,0,0,156074.jpg,3.6,0,0,Holding,3.3,False,16,a,1,3,100.0,32,174958,0,75256,0,0.0,7.8,Holding,3,27,37
344,0,0,24,100,100,0,40833,0,0,-3,3,20.7,0,0,2,1.0,0.5,1,Jérémy,0.0,1,0,6.3,492,False,20.6,0,0,0,0,129,,47,0,0,0,40833.jpg,1.3,0,0,Pied,0.0,False,26,a,13,20,21.0,5,353,0,2815,0,0.0,1.1,Pied,0,7,0
346,1,5,303,None,None,5,194164,0,0,-4,4,152.2,0,0,2,3.0,0.0,1,Mason,0.0,18,0,52.3,495,False,286.8,0,0,0,0,1372,,41,0,0,0,194164.jpg,3.0,0,0,Holgate,7.1,False,30,a,6,11,83.0,54,701907,0,452707,0,0.0,13.2,Holgate,2,37,37
347,0,0,136,100,100,1,172850,0,0,-2,2,48.4,0,0,2,1.7,0.5,1,Benjamin,0.0,18,1,27.2,496,False,137.0,0,0,0,0,699,,43,0,0,0,172850.jpg,1.6,0,0,Chilwell,0.2,False,3,a,8,13,88.0,19,6243,0,9478,0,0.0,4.4,Chilwell,2,65,58
349,0,0,0,100,0,0,168763,0,0,-2,2,0.0,0,0,2,0.0,0.0,0,Cameron,0.0,0,0,0.0,501,False,0.0,0,0,0,0,0,,43,0,0,0,168763.jpg,0.0,0,0,Carter-Vickers,0.0,False,38,a,17,6,0.0,0,1019,0,2095,0,0.0,0.0,Carter-Vickers,0,0,0
351,1,10,341,None,None,6,88900,0,0,2,-2,58.2,0,0,2,4.5,0.5,1,Jack,0.0,24,0,46.6,504,False,350.4,0,0,0,0,1471,,42,0,0,0,88900.jpg,3.5,0,0,Stephens,5.2,False,24,a,13,20,58.0,60,250492,0,36940,0,0.0,14.3,Stephens,1,58,37
352,1,7,253,100,50,3,105717,0,0,-3,3,126.7,0,0,2,1.3,0.0,0,Arthur,0.0,24,0,36.4,505,False,219.8,0,0,0,0,972,,47,0,0,0,105717.jpg,2.6,0,0,Masuaku,0.1,False,26,a,20,21,18.0,34,19205,0,25654,0,0.0,7.2,Masuaku,1,68,117
355,0,0,0,None,None,0,215457,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Kane,0.0,0,0,0.0,510,False,0.0,0,0,0,0,0,,40,0,0,0,215457.jpg,0.0,0,0,Wilson,0.4,False,49,a,19,35,0.0,0,23198,0,16225,0,0.0,0.0,Wilson,0,0,0
359,0,0,57,100,100,1,221267,0,0,0,0,20.5,0,0,2,-1.5,-1.5,0,Josh,0.0,8,0,6.4,519,False,40.2,0,0,0,0,323,,40,0,0,0,221267.jpg,1.8,0,0,Tymon,0.3,False,28,a,7,88,2.0,9,26752,0,17952,0,0.0,2.3,Tymon,1,0,0
364,0,0,0,0,0,0,156658,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Reece,0.0,0,0,0.0,534,False,0.0,0,0,0,0,0,Season-long loan to Wigan,40,0,0,0,156658.jpg,0.0,0,0,Burke,0.0,False,32,u,20,21,0.0,0,2499,0,2735,0,0.0,0.0,Burke,0,0,0
367,0,0,210,100,100,2,109528,0,0,-2,2,98.7,0,0,2,0.9,-1.5,6,Javier,0.0,28,1,40.8,538,False,242.2,0,0,0,0,1430,,43,0,0,0,109528.jpg,1.9,0,0,Manquillo,0.0,False,21,a,15,56,66.0,38,3302,0,2695,0,0.0,8.8,Manquillo,2,49,49
369,1,0,261,100,100,2,52940,0,0,-5,5,222.3,0,0,2,1.2,-1.0,0,Daryl,0.0,33,2,78.8,540,False,309.4,0,0,0,0,1614,,45,0,0,0,52940.jpg,1.9,0,0,Janmaat,0.2,False,22,a,18,57,254.0,50,21642,0,17796,0,0.0,11.1,Janmaat,2,59,49
377,2,8,513,75,100,8,69140,0,0,-2,2,159.7,1,0,2,2.3,0.0,0,Shkodran,0.0,30,2,112.4,555,False,598.2,0,0,0,0,2274,Illness - 75% chance of playing,58,0,0,0,69140.jpg,3.5,0,0,Mustafi,1.4,False,20,d,1,3,364.0,90,174375,0,149619,0,0.0,15.5,Mustafi,11,109,85
378,0,3,121,100,75,1,20145,0,0,0,0,12.7,1,0,2,0.0,-0.8,0,Adrian,0.0,13,0,20.1,556,False,162.6,0,0,0,0,562,,40,0,0,0,20145.jpg,2.1,0,0,Mariappa,0.4,False,6,a,18,57,26.0,15,30278,0,19852,0,0.0,3.8,Mariappa,0,58,58
379,0,9,541,None,None,7,149266,0,0,1,-1,62.0,3,0,2,5.3,0.0,2,Alfie,0.0,45,4,104.2,558,False,678.0,0,0,0,0,2430,,46,2,0,0,149266.jpg,3.5,0,0,Mawson,1.9,False,6,a,16,80,302.0,94,141691,0,61720,0,0.0,20.4,Mawson,1,112,117
382,5,11,675,100,100,15,82263,0,0,9,-9,420.4,3,0,2,7.9,1.5,2,Marcos,0.0,19,6,157.6,561,True,618.2,0,0,0,0,2693,,69,0,0,0,82263.jpg,5.7,0,0,Alonso,16.0,False,3,a,4,8,536.0,177,1016747,0,401236,0,0.0,25.7,Alonso,2,165,110
383,0,9,634,100,100,11,85352,0,0,-1,1,34.4,1,0,2,1.5,-0.5,6,Bruno,0.0,50,1,98.6,562,False,682.6,0,0,0,0,3146,,49,0,0,0,85352.jpg,3.0,0,0,Martins Indi,0.7,False,15,a,14,110,266.0,106,61894,0,38853,0,0.0,21.6,Martins Indi,4,20,23
386,1,10,675,100,100,15,41270,0,0,2,-2,158.1,1,0,2,6.1,1.5,2,David,0.0,26,1,109.1,570,False,651.0,0,0,0,0,2954,,62,0,0,0,41270.jpg,4.0,0,0,Luiz Moreira Marinho,5.0,False,30,a,4,8,280.0,132,346142,0,206703,0,0.0,21.3,David Luiz,6,32,71
394,0,0,39,100,100,0,41674,0,0,0,0,0.2,0,0,2,0.5,0.0,1,Kevin,0.0,6,0,6.1,594,False,56.4,0,0,0,0,270,,40,0,0,0,41674.jpg,1.0,0,0,Long,0.1,False,28,a,3,90,4.0,3,8158,0,6424,0,0.0,0.8,Long,0,57,7
400,0,0,0,None,None,0,109646,0,0,0,0,0.0,0,0,2,1.0,1.0,0,Oluwatosin,0.0,0,0,0.0,607,False,0.0,0,0,0,0,0,,45,0,0,0,109646.jpg,0.0,0,0,Adarabioyo,0.0,False,53,a,10,43,0.0,0,307,0,242,0,0.0,0.0,Tosin Adarabioyo,0,0,0
405,0,0,2,100,0,0,153673,0,0,0,0,0.6,0,0,2,0.0,0.0,0,Jonjoe,0.0,0,0,0.0,616,False,0.0,0,0,0,0,13,,40,0,0,0,153673.jpg,1.0,0,0,Kenny,0.0,False,43,a,6,11,0.0,1,1799,0,1106,0,0.0,0.3,Kenny,0,50,7
408,0,0,13,None,None,0,231172,0,0,-1,1,0.8,0,0,2,-1.0,-1.0,0,Brandon,0.0,5,0,1.2,621,False,11.4,0,0,0,0,113,,39,0,0,0,231172.jpg,0.5,0,0,Mason,0.1,False,32,a,18,57,0.0,1,5768,0,2438,0,0.0,0.3,Mason,0,0,0
414,0,3,234,100,100,4,28654,0,0,-4,4,149.5,1,0,2,3.5,0.0,2,Martin,0.0,18,2,52.6,633,False,262.0,0,0,0,0,1252,,41,0,0,0,28654.jpg,3.5,0,0,Olsson,0.8,False,16,a,16,80,114.0,52,77636,0,42344,0,0.0,12.7,Olsson,2,89,99
420,0,0,0,75,0,0,103127,0,0,-1,1,0.0,0,0,2,0.0,0.0,0,Molla,0.0,0,0,0.0,645,False,0.0,0,0,0,0,0,Shoulder Dislocation - 75% chance of playing,44,0,0,0,103127.jpg,0.0,0,0,Wagué,0.0,False,18,d,8,13,0.0,0,252,0,170,0,0.0,0.0,Wagué,0,19,7
422,0,0,0,None,None,0,209212,0,0,0,0,0.0,0,0,2,-0.5,-0.5,0,Thomas,0.0,0,0,0.0,648,False,0.0,0,0,0,0,0,,40,0,0,0,209212.jpg,0.0,0,0,Edwards,0.0,False,72,a,14,110,0.0,0,654,0,308,0,0.0,0.0,Edwards,0,6,7
423,0,0,0,None,None,0,192290,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Connor,0.0,0,0,0.0,654,False,0.0,0,0,0,0,0,,40,0,0,0,192290.jpg,0.0,0,0,Roberts,0.0,False,52,a,16,80,0.0,0,379,0,137,0,0.0,0.0,Roberts,0,7,7
424,0,0,69,None,None,2,180804,0,0,0,0,27.7,0,0,2,2.3,1.0,6,Axel,0.0,4,0,7.8,656,False,32.6,0,0,0,0,303,,40,0,0,0,180804.jpg,3.5,0,0,Tuanzebe,0.3,False,38,a,11,1,18.0,14,13275,0,554,0,0.0,3.5,Tuanzebe,0,1,0
