,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
139,1,1,79,100,100,0,100059,0,0,-6,6,78.3,0,394,2,1.3,1.0,1,Alberto,0.0,7,0,17.5,192,False,64.6,0,0,0,0,305,,44,0,0,0,100059.jpg,1.3,0,0,Moreno,1.4,False,18,a,9,14,32.0,15,18171,0,150626,0,0.0,3.4,Moreno,1,52,7
140,2,13,735,100,100,12,57328,0,0,4,-4,716.5,1,387,2,6.0,1.0,6,Nathaniel,0.0,41,0,152.4,193,False,512.0,0,0,0,0,3323,,59,0,0,0,57328.jpg,3.5,0,0,Clyne,10.3,False,2,a,9,14,294.0,129,556515,0,567033,0,0.0,21.9,Clyne,0,7,71
141,0,0,55,100,100,1,91979,0,0,-2,2,16.4,0,67,2,0.3,0.0,0,Jon,0.0,4,0,8.0,194,False,63.8,0,0,0,0,360,,43,0,0,0,91979.jpg,1.5,0,0,Flanagan,0.2,False,4,a,3,90,0.0,9,5222,0,19332,0,0.0,2.1,Flanagan,2,0,1
142,0,0,0,100,100,0,171287,0,0,-2,2,0.0,0,58,2,1.0,1.0,0,Joseph,0.0,0,0,0.0,195,False,0.0,0,0,0,0,0,,48,0,0,0,171287.jpg,0.0,0,0,Gomez,0.0,False,12,a,9,14,0.0,0,888,0,1466,0,0.0,0.0,Gomez,0,86,7
143,0,0,35,100,100,0,120447,0,0,-1,1,30.3,0,35,2,-0.5,-0.5,0,Bradley,0.0,9,0,8.6,197,False,28.6,0,0,0,0,269,,39,0,0,0,120447.jpg,0.8,0,0,Smith,2.5,False,14,a,2,91,27.0,4,89956,0,169802,0,0.0,1.0,Smith,1,0,0
144,0,7,557,100,100,9,60914,0,0,-1,1,143.3,0,0,2,6.8,1.0,6,Joel,0.0,25,1,108.0,199,False,588.6,0,0,0,0,2457,,54,0,0,0,60914.jpg,3.3,0,0,Matip,3.2,False,32,a,9,14,348.0,97,189764,0,152752,0,0.0,18.0,Matip,3,81,37
161,1,7,558,100,100,9,42593,0,0,-2,2,296.4,2,429,2,3.0,1.0,0,Aleksandar,0.0,27,1,116.0,220,False,639.0,0,0,0,0,2535,,58,1,0,0,42593.jpg,3.3,0,0,Kolarov,3.1,False,11,a,10,43,223.0,95,136250,0,230491,0,0.0,16.4,Kolarov,6,0,23
162,1,5,230,100,100,2,20658,0,0,-3,3,167.7,1,152,2,3.6,1.0,0,Pablo,0.0,18,1,52.1,221,False,238.6,0,0,0,0,1065,,47,0,0,0,20658.jpg,2.3,0,0,Zabaleta,1.2,False,5,a,10,43,113.0,45,60996,0,91419,0,0.0,9.6,Zabaleta,2,90,58
163,0,6,227,100,100,5,17476,0,0,0,0,32.9,2,173,2,6.4,1.0,13,Vincent,0.0,6,3,40.6,222,False,249.0,0,0,0,0,820,,60,0,0,0,17476.jpg,5.2,0,0,Kompany,3.2,False,4,a,10,43,123.0,57,143641,0,34177,0,0.0,9.5,Kompany,5,60,48
164,0,0,0,0,0,0,57112,0,0,-1,1,0.0,0,235,2,0.0,0.0,0,Eliaquim,0.0,0,0,0.0,225,False,0.0,0,0,0,0,0,Joined Valencia in season-long loan deal,54,0,0,0,57112.jpg,0.0,0,0,Mangala,0.3,False,20,u,10,43,0.0,0,1186,0,21014,0,0.0,0.0,Mangala,0,22,7
165,2,10,640,100,100,9,57410,0,0,-1,1,125.6,2,353,2,5.8,1.0,6,Nicolás,0.0,28,1,117.6,226,False,772.4,0,0,0,0,2592,,59,0,0,0,57410.jpg,3.3,0,0,Otamendi,3.2,False,30,a,10,43,276.0,100,106365,0,133996,0,0.0,16.9,Otamendi,9,156,110
