,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
305,0,5,215,None,None,4,67089,0,0,0,0,0.0,1,0,1,3.7,4.0,6,Martin,4.5,11,0,23.3,621,False,234.6,0,0,0,0,1080,,None,45,0,0,1,67089.jpg,4.4,0,26,Dubravka,1.0,False,12,a,13,4,0.0,53,74628,0,18676,0,1.0,11.8,Dubravka,0,131,58
306,0,3,278,100,100,4,58376,0,0,-1,1,0.0,0,0,1,2.9,2.5,2,Alex,4.0,26,0,28.1,305,False,280.8,0,0,0,0,1620,,2017-07-12T10:31:11Z,44,0,0,0,58376.jpg,2.9,0,42,McCarthy,0.8,False,13,a,14,20,0.0,52,57486,0,18802,0,0.9,11.8,McCarthy,2,73,73
307,0,6,351,None,None,4,40383,0,0,-4,4,0.0,1,0,1,-1.5,-1.5,0,Fraser,0.0,30,0,48.9,306,False,488.2,0,0,0,0,1800,,None,46,0,0,1,40383.jpg,3.6,0,69,Forster,3.9,False,44,a,14,20,0.0,73,372455,0,539985,0,0.0,15.9,Forster,0,2,0
330,0,0,44,100,100,0,6744,0,0,-3,3,0.0,0,0,1,-0.5,-0.5,0,Lee,0.0,7,0,6.3,329,False,64.2,0,0,0,0,270,,2018-04-16T19:01:19Z,42,0,0,0,6744.jpg,1.7,0,8,Grant,0.2,False,33,a,15,110,0.0,5,10026,0,29855,0,0.0,1.2,Grant,0,0,0
334,0,14,772,None,None,9,37096,0,0,2,-2,10.0,3,0,1,4.7,5.5,9,Lukasz,5.0,56,0,109.9,350,False,1087.8,0,0,0,0,3420,,None,47,0,0,3,37096.jpg,4.1,0,137,Fabianski,10.1,False,1,a,16,80,0.0,157,777440,0,471849,0,1.1,33.4,Fabianski,0,143,73
341,0,6,694,100,100,15,37915,0,0,0,0,0.1,0,0,1,5.8,5.2,1,Hugo,4.2,35,0,72.3,375,False,726.4,0,0,0,0,3240,,2018-01-19T13:01:18Z,55,0,0,0,37915.jpg,4.0,0,87,Lloris,9.3,False,1,a,17,6,0.0,144,415027,0,608956,0,0.8,26.2,Lloris,1,145,73
342,0,0,17,100,100,0,39215,0,0,-2,2,0.0,0,0,1,1.0,1.0,0,Michel,0.0,1,0,1.9,376,False,19.0,0,0,0,0,90,,2017-11-18T12:31:16Z,48,0,0,0,39215.jpg,3.0,0,4,Vorm,0.1,False,13,a,17,6,0.0,3,7923,0,9749,0,0.0,0.6,Vorm,0,5,0
363,0,2,26,None,None,1,102884,0,0,-3,3,0.0,0,0,1,1.0,1.0,0,Paulo,0.0,0,0,2.7,565,False,27.4,0,0,0,0,90,,None,42,0,0,0,102884.jpg,9.0,0,3,Gazzaniga,0.1,False,22,a,17,6,0.0,9,7088,0,5837,0,0.0,2.1,Gazzaniga,0,13,0
364,0,0,0,None,None,0,175941,0,0,0,0,0.0,0,0,1,1.0,1.0,0,Alfie,0.0,0,0,0.0,566,False,0.0,0,0,0,0,0,,None,40,0,0,0,175941.jpg,0.0,0,0,Whiteman,0.1,False,41,a,17,6,0.0,0,6613,0,4143,0,0.0,0.0,Whiteman,0,0,0
369,0,4,394,100,100,5,18656,0,0,-1,1,0.2,0,0,1,-1.0,-0.6,2,Heurelho,0.4,40,0,45.6,397,False,457.0,0,0,0,0,2128,,2018-02-24T16:31:20Z,44,0,0,0,18656.jpg,2.7,0,61,Gomes,1.2,False,1,a,18,57,0.0,64,135926,0,171609,0,0.1,14.5,Gomes,0,0,0
391,0,11,635,100,100,10,9089,0,0,-2,2,20.0,1,0,1,6.0,5.1,2,Ben,5.6,55,0,73.8,421,False,716.8,0,0,0,0,3330,,2018-01-26T15:01:18Z,43,0,0,0,9089.jpg,3.3,0,99,Foster,9.4,False,1,a,19,35,0.0,123,536737,0,796577,0,1.3,28.6,Foster,2,129,73
395,0,5,374,100,100,6,60706,0,0,-5,5,0.0,1,0,1,4.0,4.0,4,Adrián,4.0,29,0,47.0,438,False,470.4,0,0,0,0,1710,,2017-10-20T19:01:16Z,40,0,0,0,60706.jpg,3.8,0,69,San Miguel del Castillo,2.4,False,13,a,20,21,0.0,72,301496,0,179290,0,1.0,18.0,Adrián,2,0,0
410,1,3,341,100,100,4,15749,0,0,-3,3,20.0,1,0,1,0.8,0.7,0,Joe,0.7,39,0,40.2,479,False,382.8,0,0,0,0,1710,,2018-05-05T15:31:17Z,42,0,0,1,15749.jpg,3.1,0,54,Hart,5.7,False,25,a,20,21,0.0,59,204278,0,544465,0,0.2,14.0,Hart,0,69,73
