,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
54,1,6,383,100,100,11,83543,0,0,-5,5,557.2,0,0,3,0.7,0.7,2,Anthony,2.2,29,3,149.1,62,False,404.0,0,0,0,0,2415,,2018-03-10T17:01:18Z,55,0,0,0,83543.jpg,2.7,1,0,Knockaert,0.6,False,11,a,3,36,530.0,88,52744,0,123734,0,0.4,16.0,Knockaert,4,74,69
55,3,2,550,100,100,10,40845,0,0,0,0,272.5,0,0,3,0.5,0.5,2,Dale,2.0,50,0,107.7,63,False,625.8,0,0,0,0,3240,,2018-04-07T13:01:18Z,45,0,0,0,40845.jpg,2.4,0,0,Stephens,1.2,False,6,a,3,36,176.0,87,225003,0,196706,0,0.4,19.3,Stephens,6,65,88
56,0,0,115,100,100,1,38490,0,0,-1,1,137.0,0,0,3,0.1,0.0,1,Beram,1.5,14,0,29.6,64,False,111.2,0,0,0,0,735,,2017-08-09T13:31:13Z,44,0,0,0,38490.jpg,1.3,0,0,Kayal,0.1,False,7,a,3,36,48.0,25,3704,0,6503,0,0.3,5.7,Kayal,2,36,36
57,3,3,303,None,None,6,109345,0,0,-2,2,320.9,0,0,3,-0.5,-0.3,2,Solomon,1.2,29,1,99.8,66,False,357.4,0,0,0,0,1838,,None,48,0,0,0,109345.jpg,2.1,0,0,March,0.2,False,20,a,3,36,316.0,74,48669,0,48441,0,0.3,15.4,March,3,94,67
58,8,24,635,None,None,10,60307,0,0,4,-4,1311.0,3,0,3,3.3,2.7,1,Pascal,4.2,46,7,257.6,70,False,735.4,0,0,0,0,2928,,None,59,0,0,0,60307.jpg,4.3,0,0,Groß,15.4,False,13,a,3,36,527.0,164,2556990,0,1831783,0,0.7,27.8,Groß,2,80,80
63,4,1,446,100,100,9,66242,0,0,-2,2,297.1,0,0,3,0.1,0.2,2,Davy,1.7,50,0,108.9,490,False,535.8,0,0,0,0,3118,,2018-04-07T20:01:19Z,53,0,0,0,66242.jpg,2.5,1,0,Pröpper,0.1,False,24,a,3,36,255.0,87,11375,0,16309,0,0.3,16.4,Pröpper,2,72,88
64,5,4,324,None,None,5,167473,0,0,-1,1,311.3,1,0,3,3.1,2.3,0,José Heriberto,3.8,32,5,131.3,517,False,385.4,0,0,0,0,1976,,None,59,0,0,0,167473.jpg,3.2,0,0,Izquierdo Mena,0.3,False,19,a,3,36,618.0,101,42611,0,28326,0,0.6,17.1,Izquierdo,2,31,67
66,0,0,0,None,None,0,220738,0,0,0,0,0.0,0,0,3,-1.5,-1.5,0,Jayson,0.0,0,0,0.0,553,False,0.0,0,0,0,0,0,,None,45,0,0,0,220738.jpg,0.0,0,0,Molumby,0.0,False,49,a,3,36,0.0,0,862,0,718,0,0.0,0.0,Molumby,0,0,0
75,9,7,467,100,100,10,60586,0,0,0,0,1052.0,1,0,3,4.0,3.7,2,Johann Berg,3.7,33,2,219.2,84,False,599.0,0,0,0,0,2831,,2018-04-14T13:31:19Z,50,0,0,0,60586.jpg,3.3,0,0,Gudmundsson,1.9,False,17,a,4,90,539.0,117,259431,0,160499,0,0.7,23.4,Gudmundsson,2,92,69
76,1,0,353,0,0,12,39847,0,0,-1,1,310.8,0,0,3,0.0,0.0,0,Steven,0.0,17,1,78.4,85,False,353.8,0,0,0,0,1998,Knee injury - Unknown return date,2018-01-29T16:31:17Z,54,0,0,0,39847.jpg,2.6,0,0,Defour,0.3,False,16,i,4,90,117.0,62,26936,0,34586,0,0.0,11.5,Defour,6,10,62
77,2,1,307,100,100,9,83314,0,0,-1,1,408.2,0,0,3,1.0,1.2,2,Jeff,1.2,28,2,100.9,86,False,265.6,0,0,0,0,2326,,2017-08-25T12:01:13Z,54,0,0,0,83314.jpg,2.5,0,0,Hendrick,0.2,False,13,a,4,90,335.0,85,26509,0,26456,0,0.2,15.7,Hendrick,1,73,69
