,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
378,1,9,389,75,75,5,54484,0,0,-2,2,302.8,1,0,2,-0.1,-0.3,0,Francisco,0.6,34,1,74.5,407,False,327.2,0,0,0,0,1709,Knock - 75% chance of playing,2018-05-11T18:01:19Z,43,0,0,0,54484.jpg,2.8,0,0,Femenía Far,1.4,False,21,d,18,57,113.0,65,518525,0,492130,0,0.1,15.1,Kiko Femenía,2,66,92
388,2,5,186,100,100,2,66247,0,0,-5,5,142.1,1,0,2,-1.0,-1.0,0,Marvin,0.0,18,0,35.2,537,False,185.2,0,0,0,0,993,,2017-12-09T16:01:16Z,40,0,0,0,66247.jpg,2.3,1,0,Zeegelaar,0.3,False,22,a,18,57,24.0,28,115997,0,103105,0,0.0,7.0,Zeegelaar,4,0,47
392,2,5,455,100,100,6,37642,0,0,-1,1,104.2,1,0,2,0.0,-0.1,0,Jonny,0.4,38,2,85.1,423,False,536.2,0,0,0,0,2269,,2018-04-07T17:31:19Z,49,1,0,0,37642.jpg,2.8,0,0,Evans,1.0,False,6,a,19,35,211.0,78,134223,0,132817,0,0.1,15.9,Evans,7,77,47
396,0,3,264,0,0,5,48717,0,0,-2,2,48.8,0,0,2,0.0,0.0,0,Winston,0.0,27,0,43.6,442,False,322.4,0,0,0,0,1452,Knee injury - Unknown return date,2018-03-03T16:01:17Z,48,0,0,0,48717.jpg,2.5,0,0,Reid,0.6,False,2,i,20,21,64.0,42,22103,0,77853,0,0.0,8.8,Reid,5,0,91
397,7,10,613,100,100,10,55459,0,0,-1,1,562.7,0,0,2,4.2,3.8,2,Aaron,3.8,60,1,145.0,443,False,690.2,0,0,0,0,3069,,2018-04-16T19:01:19Z,49,0,0,0,55459.jpg,3.3,0,0,Cresswell,3.2,False,3,a,20,21,193.0,118,502197,0,320817,0,0.8,24.1,Cresswell,7,34,140
398,0,4,520,100,100,7,40669,0,0,-3,3,81.4,2,0,2,2.8,2.7,2,Angelo,2.7,60,1,91.4,444,False,687.8,0,0,0,0,2880,,2018-04-22T12:31:18Z,42,0,0,0,40669.jpg,2.4,0,0,Ogbonna,3.4,False,21,a,20,21,145.0,77,514788,0,372340,0,0.6,18.3,Ogbonna,3,48,36
399,0,0,41,0,0,0,113564,0,0,-3,3,37.6,0,0,2,0.0,0.0,0,Sam,0.0,7,0,14.5,445,False,71.0,0,0,0,0,246,Ankle injury - Unknown return date,2018-03-07T13:31:17Z,42,0,0,0,113564.jpg,1.0,0,0,Byram,0.1,False,22,i,20,21,36.0,5,3403,0,10823,0,0.0,1.2,Byram,1,0,0
400,3,2,352,100,100,6,105717,0,0,-3,3,295.1,1,0,2,3.2,2.8,1,Arthur,2.8,29,0,80.7,446,False,385.0,0,0,0,0,1867,,2018-01-27T16:31:18Z,42,0,0,0,105717.jpg,2.5,0,0,Masuaku,1.2,False,26,a,20,21,128.0,68,224319,0,170843,0,0.7,16.2,Masuaku,5,49,91
401,1,6,563,100,100,10,20658,0,0,-1,1,293.7,0,0,2,2.2,2.7,5,Pablo,2.7,62,0,100.7,447,False,635.0,0,0,0,0,3289,,2017-12-17T21:31:15Z,49,1,0,0,20658.jpg,2.4,0,0,Zabaleta,1.9,False,5,a,20,21,77.0,90,144511,0,226445,0,0.6,18.4,Zabaleta,9,56,36
412,0,0,280,100,100,3,204480,0,0,-1,1,35.7,0,0,2,2.8,2.7,2,Declan,2.7,29,0,37.5,510,False,310.4,0,0,0,0,1421,,2018-01-20T14:01:19Z,44,0,0,0,204480.jpg,1.6,0,0,Rice,0.1,False,41,a,20,21,29.0,41,7435,0,4069,0,0.6,9.3,Rice,1,92,92
415,0,0,2,0,0,0,173792,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Reece,0.0,0,0,0.3,611,False,3.0,0,0,0,0,4,Season-long loan to Borussia Monchengladbach,2018-01-31T17:01:18Z,45,0,0,0,173792.jpg,1.0,0,0,Oxford,0.0,False,35,u,20,21,0.0,1,26,0,14,0,0.0,0.2,Oxford,0,0,0
