,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points_old,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,total_points_new,prediction
164,3,14,248,100,100,0,113688,0,0,-4,4,159.2,3,0,4,0.8,2.0,7,Oumar,2.0,23,8,115.2,548,False,370.6,0,0,0,0,1076,,2017-11-22T15:31:15Z,46,0,0,0,113688.jpg,3.8,0,0,Niasse,5.0,False,19,a,7,11,634.0,83,1143458,0,901711,0,0.4,18.0,Niasse,2,30,30
166,0,9,192,None,None,4,66838,0,0,-8,8,226.4,2,0,4,3.3,3.0,2,Cenk,3.0,13,5,75.6,592,False,232.4,0,0,0,0,984,,None,67,0,0,0,66838.jpg,3.9,0,0,Tosun,2.1,False,14,a,7,11,304.0,55,344999,0,225748,0,0.4,8.2,Tosun,0,56,23
181,4,0,173,100,100,3,84112,0,0,0,0,255.7,0,0,4,-0.2,-0.4,0,Collin,0.6,23,0,74.8,186,False,209.0,0,0,0,0,1268,,2018-03-03T16:01:17Z,45,0,0,0,84112.jpg,1.7,0,0,Quaner,4.8,False,23,a,8,38,283.0,44,623851,0,587073,0,0.1,9.8,Quaner,4,2,2
182,2,14,283,100,100,4,147303,0,0,-5,5,191.4,1,0,4,2.0,1.6,1,Laurent,2.6,34,6,99.6,187,False,352.0,0,0,0,0,1807,,2018-02-03T18:31:19Z,50,0,0,0,147303.jpg,2.8,0,0,Depoitre,2.6,False,20,a,8,38,451.0,94,796262,0,676216,0,0.5,18.8,Depoitre,1,34,23
183,2,12,269,100,100,6,169141,0,0,-5,5,270.7,2,0,4,0.3,0.4,2,Steve,1.4,32,7,124.5,188,False,377.0,0,0,0,0,1849,,2017-09-14T12:31:14Z,55,0,0,0,169141.jpg,3.3,0,0,Mounie,1.7,False,24,a,8,38,600.0,92,534468,0,523833,0,0.3,16.7,Mounie,2,69,168
204,2,28,674,100,100,8,101668,0,0,3,-3,439.9,3,0,4,3.2,4.7,13,Jamie,5.7,57,20,248.6,209,True,822.8,0,0,0,0,3248,,2018-01-01T14:31:17Z,88,0,1,0,101668.jpg,4.9,0,0,Vardy,21.7,False,9,a,9,13,1222.0,183,3438115,0,2728318,0,0.6,20.8,Vardy,3,174,141
205,3,7,275,0,0,5,78412,0,0,-2,2,228.1,1,0,4,0.0,0.0,0,Shinji,0.2,19,6,107.9,211,False,347.6,0,0,0,0,1314,Ankle injury - Expected back 13 May,2018-04-17T15:31:18Z,53,0,0,0,78412.jpg,2.8,0,0,Okazaki,2.9,False,20,i,9,13,508.0,76,802125,0,810283,0,0.0,14.3,Okazaki,2,25,23
206,4,5,171,100,100,1,173515,0,0,-5,5,185.6,0,0,4,2.0,2.5,6,Kelechi,3.5,17,3,74.5,258,False,214.2,0,0,0,0,818,,2018-03-31T13:01:18Z,65,0,0,0,173515.jpg,2.6,0,0,Iheanacho,0.8,False,8,a,9,13,350.0,54,29646,0,147391,0,0.5,8.3,Iheanacho,2,58,28
211,1,0,72,100,75,0,210207,0,0,-1,1,130.8,0,0,4,0.8,0.6,1,Fousseni,1.8,12,0,29.7,601,False,98.6,0,0,0,0,579,,2018-05-13T14:01:21Z,49,0,0,0,210207.jpg,1.5,0,0,Diabaté,0.1,False,33,a,9,13,67.0,21,15957,0,11621,0,0.4,4.3,Diabaté,1,1,1
229,8,29,758,100,100,16,92217,0,0,10,-10,834.5,3,0,4,4.8,4.5,2,Roberto,3.0,32,15,312.7,235,False,951.0,0,0,0,0,2760,,2018-04-14T16:01:19Z,95,0,0,0,92217.jpg,4.9,0,0,Firmino,36.1,False,9,a,10,14,1341.0,181,4655247,0,3869077,0,0.3,19.1,Firmino,1,160,160
